library-id,specimen_id,sample_id,Phenotype,Aligned,Dedup,Coverage,Pheno,Path,NewPheno,NewPhenotype,Group,library_id
NA,Fitz09,NA,UNK,212292704,193840062,42.342,NA,/home/maccamp/lates-wgs/data/fitzroy/Fitz09.sort.flt.bam,NA,UNK,FitzroyQLD,Fitz09
NA,Fitz10,NA,UNK,178106206,164999646,35.3562,NA,/home/maccamp/lates-wgs/data/fitzroy/Fitz10.sort.flt.bam,NA,UNK,FitzroyQLD,Fitz10
NA,Fitz11,NA,UNK,209984474,192614333,42.0989,NA,/home/maccamp/lates-wgs/data/fitzroy/Fitz11.sort.flt.bam,NA,UNK,FitzroyQLD,Fitz11
NA,Fitz12,NA,UNK,193808212,179158375,38.6273,NA,/home/maccamp/lates-wgs/data/fitzroy/Fitz12.sort.flt.bam,NA,UNK,FitzroyQLD,Fitz12
NA,Daly01,NA,UNK,316492070,271334403,58.7496,NA,/home/maccamp/lates-wgs/data/daly/Daly01.sort.flt.bam,NA,UNK,Daly River,Daly01
NA,Daly02,NA,UNK,326046177,283926139,60.2108,NA,/home/maccamp/lates-wgs/data/daly/Daly02.sort.flt.bam,NA,UNK,Daly River,Daly02
NA,Daly03,NA,UNK,250931941,216745151,47.0122,NA,/home/maccamp/lates-wgs/data/daly/Daly03.sort.flt.bam,NA,UNK,Daly River,Daly03
NA,Daly04,NA,UNK,228200523,200254294,43.2608,NA,/home/maccamp/lates-wgs/data/daly/Daly04.sort.flt.bam,NA,UNK,Daly River,Daly04
NA,Daly05,NA,UNK,358110468,308080850,66.6556,NA,/home/maccamp/lates-wgs/data/daly/Daly05.sort.flt.bam,NA,UNK,Daly River,Daly05
NA,Daly06,NA,UNK,288183066,246600489,53.1609,NA,/home/maccamp/lates-wgs/data/daly/Daly06.sort.flt.bam,NA,UNK,Daly River,Daly06
NA,Daly07,NA,UNK,302850614,258326860,55.7428,NA,/home/maccamp/lates-wgs/data/daly/Daly07.sort.flt.bam,NA,UNK,Daly River,Daly07
NA,Daly08,NA,UNK,277003928,240831949,52.1401,NA,/home/maccamp/lates-wgs/data/daly/Daly08.sort.flt.bam,NA,UNK,Daly River,Daly08
NA,Roper02,NA,UNK,305214628,237233317,49.1359,NA,/home/maccamp/lates-wgs/data/daly/Roper02.sort.flt.bam,NA,UNK,Roper River,Roper02
NA,Roper07,NA,UNK,240383448,192310744,39.667,NA,/home/maccamp/lates-wgs/data/daly/Roper07.sort.flt.bam,NA,UNK,Roper River,Roper07
NA,Roper08,NA,UNK,218701103,172576592,35.7122,NA,/home/maccamp/lates-wgs/data/daly/Roper08.sort.flt.bam,NA,UNK,Roper River,Roper08
NA,Roper09,NA,UNK,209993253,163360453,33.7983,NA,/home/maccamp/lates-wgs/data/daly/Roper09.sort.flt.bam,NA,UNK,Roper River,Roper09
NA,Roper10,NA,UNK,220737088,177538875,36.7153,NA,/home/maccamp/lates-wgs/data/daly/Roper10.sort.flt.bam,NA,UNK,Roper River,Roper10
